id,name,supertype,hp,evolvesFrom,convertedRetreatCost,number,artist,rarity
gym2-2,Blaine's Charizard,Pokémon,100,Blaine's Charmeleon,3,2,Ken Sugimori,Rare Holo
det1-3,Morelull,Pokémon,50,,1,3,MPC Film,Common
pop7-2,Gallade,Pokémon,130,Kirlia,2,2,Daisuke Ito,Rare
col1-2,Deoxys,Pokémon,80,,1,2,Ryo Ueda,Rare Holo
pl1-3,Blaziken,Pokémon,130,Combusken,1,3,Hajime Kusajima,Rare Holo
sm115-2,Metapod,Pokémon,90,Caterpie,2,2,Shibuzoh.,Uncommon
sm2-1,Bellsprout,Pokémon,60,,1,1,Aya Kusube,Common
ex4-1,Team Aqua's Cacturne,Pokémon,80,Team Aqua's Cacnea,2,1,K. Utsunomiya,Rare Holo
bw9-1,Weedle,Pokémon,50,,1,1,Sumiyoshi Kizuki,Common
ex3-1,Absol,Pokémon,70,,1,1,Naoyo Kimura,Rare Holo
ru1-1,Venusaur,Pokémon,140,Ivysaur,4,1,Pokemon Rumble,
hgss1-1,Arcanine,Pokémon,110,Growlithe,2,1,Naoki Saito,Rare Holo
gym1-1,Blaine's Moltres,Pokémon,90,,3,1,Ken Sugimori,Rare Holo
base3-1,Aerodactyl,Pokémon,60,Mysterious Fossil,2,1,Kagemaru Himeno,Rare Holo
dp3-2,Blastoise,Pokémon,120,Wartortle,2,2,Daisuke Ito,Rare Holo
xy2-2,Metapod,Pokémon,70,Caterpie,2,2,kawayoo,Uncommon
hgss1-2,Azumarill,Pokémon,90,Marill,2,2,Kouki Saitou,Rare Holo
det1-2,Ludicolo,Pokémon,140,Lombre,3,2,Framestore,Rare
ru1-2,Cherrim,Pokémon,80,Cherubi,1,2,Pokemon Rumble,
dp1-1,Dialga,Pokémon,90,,2,1,Nakaoka,Rare Holo
xy7-1,Oddish,Pokémon,50,,1,1,MAHOU,Common
dv1-2,Dratini,Pokémon,40,,1,2,Naoki Saito,Rare Holo
ecard2-H3,Ariados,Pokémon,70,Spinarak,,H3,Shin-ichi Yoshida,Rare Holo
sm12-2,Oddish,Pokémon,60,,1,2,Yumi,Common
si1-2,Pidgeot,Pokémon,70,Pidgeotto,,2,Keiko Fukuyama,
base3-3,Ditto,Pokémon,50,,1,3,Keiji Kinebuchi,Rare Holo
hgss1-3,Clefable,Pokémon,80,Clefairy,1,3,Masakazu Fukuda,Rare Holo
gym1-3,Erika's Clefable,Pokémon,70,Erika's Clefairy,2,3,Atsuko Nishida,Rare Holo
base5-1,Dark Alakazam,Pokémon,60,Dark Kadabra,3,1,Ken Sugimori,Rare Holo
bw11-1,Tangela,Pokémon,70,,2,1,kirisAki,Common
pop3-1,Blastoise,Pokémon,120,Wartortle,2,1,Mitsuhiro Arita,Rare
dp4-1,Blaziken,Pokémon,130,Combusken,1,1,Kagemaru Himeno,Rare Holo
bw5-1,Bulbasaur,Pokémon,60,,2,1,Mitsuhiro Arita,Common
dpp-DP01,Turtwig,Pokémon,60,,2,DP01,Masakazu Fukuda,Promo
swsh1-1,Celebi V,Pokémon,180,,1,1,PLANETA Igarashi,Rare Holo V
base6-1,Alakazam,Pokémon,80,Kadabra,3,1,Ken Sugimori,Rare Holo
pop9-1,Garchomp,Pokémon,130,Gabite,,1,Kagemaru Himeno,Rare
mcd19-4,Alolan Sandshrew,Pokémon,60,,1,4,Shin Nagasawa,
sm115-3,Butterfree,Pokémon,130,Metapod,1,3,Masakazu Fukuda,Rare
base3-4,Dragonite,Pokémon,100,Dragonair,1,4,Kagemaru Himeno,Rare Holo
det1-4,Charmander,Pokémon,60,,1,4,MPC Film,Common
pop4-2,Deoxys δ,Pokémon,70,,1,2,Kouki Saitou,Rare
ex12-4,Delcatty,Pokémon,80,Skitty,1,4,Naoyo Kimura,Rare Holo
ex3-4,Flygon,Pokémon,120,Vibrava,2,4,Mitsuhiro Arita,Rare Holo
xy2-4,Pineco,Pokémon,60,,2,4,Suwama Chiaki,Common
ex11-4,Espeon δ,Pokémon,70,Eevee,1,4,Ryo Ueda,Rare Holo
gym2-3,Brock's Ninetales,Pokémon,70,Brock's Vulpix,1,3,Ken Sugimori,Rare Holo
pop1-2,Metagross,Pokémon,100,Metang,3,2,Ken Sugimori,Rare
pl4-2,Froslass,Pokémon,80,Snorunt,1,2,TOKIYA,Rare Holo
sm3-2,Metapod,Pokémon,80,Caterpie,2,2,Suwama Chiaki,Uncommon
bw10-3,Lileep,Pokémon,80,Root Fossil Lileep,2,3,Suwama Chiaki,Uncommon
hgss4-4,Drapion,Pokémon,100,Skorupi,3,4,Sumiyoshi Kizuki,Rare Holo
ex13-3,Deoxys δ,Pokémon,70,,1,3,Mitsuhiro Arita,Rare Holo
bw6-1,Hoppip,Pokémon,30,,1,1,Kouki Saitou,Common
xy11-4,Skiploom,Pokémon,70,Hoppip,1,4,Eri Yamaki,Uncommon
hgss4-5,Mamoswine,Pokémon,140,Piloswine,4,5,Kagemaru Himeno,Rare Holo
sm5-3,Yanmega,Pokémon,120,Yanma,1,3,SATOSHI NAKAI,Uncommon
pl3-4,Electivire FB,Pokémon,90,,3,4,Hironobu Yoshida,Rare Holo
swsh4-2,Kakuna,Pokémon,80,Weedle,3,2,Naoyo Kimura,Uncommon
gym2-4,Erika's Venusaur,Pokémon,90,Erika's Ivysaur,2,4,Ken Sugimori,Rare Holo
pop3-3,Jolteon,Pokémon,70,Eevee,,3,Masakazu Fukuda,Rare
base6-3,Charizard,Pokémon,120,Charmeleon,3,3,Mitsuhiro Arita,Rare Holo
bw4-3,Kricketot,Pokémon,60,,1,3,MAHOU,Common
hgss2-2,Magmortar,Pokémon,110,Magmar,2,2,Hajime Kusajima,Rare Holo
swsh4-1,Weedle,Pokémon,40,,1,1,sui,Common
pop1-1,Blaziken,Pokémon,110,Combusken,2,1,Katsura Tabata,Rare
bw8-1,Turtwig,Pokémon,70,,2,1,Kouki Saitou,Common
neo4-1,Dark Ampharos,Pokémon,70,Dark Flaaffy,2,1,Kagemaru Himeno,Rare Holo
pop7-3,Latias,Pokémon,80,,1,3,Daisuke Ito,Rare
hgss1-4,Gyarados,Pokémon,130,Magikarp,3,4,Mitsuhiro Arita,Rare Holo
xy1-2,M Venusaur-EX,Pokémon,230,Venusaur-EX,4,2,5ban Graphics,Rare Holo EX
ex8-2,Beautifly,Pokémon,100,Silcoon,1,2,Kagemaru Himeno,Rare Holo
dpp-DP02,Chimchar,Pokémon,50,,1,DP02,Kagemaru Himeno,Promo
col1-3,Dialga,Pokémon,100,,3,3,Ayaka Yoshida,Rare Holo
bw11-2,Tangrowth,Pokémon,120,Tangela,4,2,Kagemaru Himeno,Rare
ecard2-H4,Azumarill,Pokémon,70,Marill,1,H4,Kagemaru Himeno,Rare Holo
neo4-2,Dark Crobat,Pokémon,70,Dark Golbat,,2,"Shin-ichi Yoshikawa, CR CG gangs",Rare Holo
base6-2,Articuno,Pokémon,70,,2,2,Mitsuhiro Arita,Rare Holo
si1-3,Onix,Pokémon,90,,3,3,Keiko Fukuyama,
base4-4,Charizard,Pokémon,120,Charmeleon,3,4,Mitsuhiro Arita,Rare Holo
bw8-2,Grotle,Pokémon,100,Turtwig,3,2,Sumiyoshi Kizuki,Uncommon
xy7-3,Vileplume,Pokémon,130,Gloom,3,3,Midori Harada,Rare
sm75-1,Charmander,Pokémon,70,,2,1,tetsuya koizumi,Common
ex7-4,Dark Electrode,Pokémon,70,Voltorb,1,4,Kouki Saitou,Rare Holo
swsh1-3,Roselia,Pokémon,70,,1,3,Naoyo Kimura,Common
xy5-4,Tangela,Pokémon,80,,2,4,match,Common
ex11-5,Flareon δ,Pokémon,70,Eevee,1,5,Kouki Saitou,Rare Holo
base3-5,Gengar,Pokémon,80,Haunter,1,5,Keiji Kinebuchi,Rare Holo
ex10-2,Ariados,Pokémon,70,Spinarak,1,2,Mitsuhiro Arita,Rare Holo
xy7-4,Bellossom,Pokémon,120,Gloom,1,4,Mizue,Uncommon
pl1-5,Dialga,Pokémon,100,,3,5,Mitsuhiro Arita,Rare Holo
basep-2,Electabuzz,Pokémon,60,,2,2,Ken Sugimori,Promo
hgss2-1,Jirachi,Pokémon,60,,1,1,Wataru Kawahara,Rare Holo
basep-1,Pikachu,Pokémon,60,,1,1,Keiji Kinebuchi,Promo
pop4-1,Chimecho δ,Pokémon,60,,1,1,Masakazu Fukuda,Rare
pl4-1,Charizard,Pokémon,140,Charmeleon,3,1,Kagemaru Himeno,Rare Holo
ex9-3,Exploud,Pokémon,120,Loudred,2,3,Hajime Kusajima,Rare Holo
pop6-4,Pachirisu,Pokémon,70,,1,4,Atsuko Nishida,Rare
ex4-2,Team Aqua's Crawdaunt,Pokémon,80,Team Aqua's Corphish,1,2,Nakaoka,Rare Holo
xy4-2,Venomoth,Pokémon,90,Venonat,1,2,5ban Graphics,Rare
pl1-4,Delcatty,Pokémon,90,Skitty,1,4,Mitsuhiro Arita,Rare Holo
swsh35-3,Kakuna,Pokémon,80,Weedle,3,3,Miki Tanaka,Common
base5-2,Dark Arbok,Pokémon,60,Ekans,2,2,Mitsuhiro Arita,Rare Holo
pop5-2,Lugia,Pokémon,80,,2,2,Mitsuhiro Arita,Rare
dp4-2,Cresselia,Pokémon,80,,1,2,Ryo Ueda,Rare Holo
pop3-2,Flareon,Pokémon,70,Eevee,1,2,Masakazu Fukuda,Rare
pop9-2,Manaphy,Pokémon,70,,1,2,Masakazu Fukuda,Rare
sm5-2,Yanma,Pokémon,70,,1,2,Akira Komayama,Common
bw5-3,Venusaur,Pokémon,140,Ivysaur,4,3,Masakazu Fukuda,Rare Holo
ex12-5,Gengar,Pokémon,100,Haunter,1,5,Kouki Saitou,Rare Holo
pl4-3,Heatran,Pokémon,100,,3,3,Keiko Moritsugu,Rare Holo
bw10-4,Cradily,Pokémon,120,Lileep,2,4,kawayoo,Rare
pop4-3,Flygon,Pokémon,120,Vibrava,2,3,Hisao Nakamura,Rare
ex9-4,Gardevoir,Pokémon,100,Kirlia,2,4,Kagemaru Himeno,Rare Holo
dp4-3,Darkrai,Pokémon,70,,1,3,Masakazu Fukuda,Rare Holo
ecard2-H5,Bellossom,Pokémon,90,Gloom,2,H5,Sumiyoshi Kizuki,Rare Holo
pop1-3,Rayquaza,Pokémon,80,,1,3,Katsura Tabata,Rare
xy4-3,Yanma,Pokémon,70,,1,3,Shin Nagasawa,Common
bw11-3,Shuckle,Pokémon,80,,1,3,MAHOU,Uncommon
pop7-4,Latios,Pokémon,90,,2,4,Daisuke Ito,Rare
xy1-1,Venusaur-EX,Pokémon,180,,4,1,Eske Yoshinob,Rare Holo EX
neo3-1,Ampharos,Pokémon,90,Flaaffy,3,1,Toshinao Aoki,Rare Holo
bw5-2,Ivysaur,Pokémon,90,Bulbasaur,3,2,sui,Uncommon
sm2-2,Weepinbell,Pokémon,80,Bellsprout,2,2,Mina Nakai,Uncommon
bw7-2,Gloom,Pokémon,80,Oddish,1,2,Atsuko Nishida,Uncommon
dv1-4,Dragonair,Pokémon,70,Dratini,2,4,Kagemaru Himeno,Rare Holo
dp1-2,Dusknoir,Pokémon,120,Dusclops,3,2,Takabon,Rare Holo
dp3-4,Entei,Pokémon,80,,2,4,Ryo Ueda,Rare Holo
xy11-3,Hoppip,Pokémon,40,,1,3,Mina Nakai,Common
swsh1-2,Roselia,Pokémon,70,,1,2,sowsow,Common
bw4-2,Seedot,Pokémon,40,,1,2,Kagemaru Himeno,Common
sm9-4,Kakuna,Pokémon,80,Weedle,3,4,Yuka Morii,Uncommon
ex10-1,Ampharos,Pokémon,120,Flaaffy,2,1,Kyoko Umemoto,Rare Holo
si1-4,Togepi,Pokémon,40,,1,4,Keiko Fukuyama,
dp1-3,Electivire,Pokémon,100,Electabuzz,3,3,Nakaoka,Rare Holo
sm12-3,Gloom,Pokémon,80,Oddish,2,3,sui,Uncommon
hgss1-5,Hitmontop,Pokémon,60,,1,5,Ken Sugimori,Rare Holo
ex3-5,Golem,Pokémon,120,Graveler,4,5,Hisao Nakamura,Rare Holo
ex4-3,Team Aqua's Kyogre,Pokémon,100,,3,3,K. Hoshiba,Rare Holo
dv1-5,Dragonite,Pokémon,150,Dragonair,3,5,Mitsuhiro Arita,Rare Holo
dp3-5,Flygon,Pokémon,120,Vibrava,1,5,Daisuke Ito,Rare Holo
bw1-3,Servine,Pokémon,80,Snivy,1,3,Kagemaru Himeno,Uncommon
ex8-3,Breloom,Pokémon,80,Shroomish,1,3,Hajime Kusajima,Rare Holo
neo3-2,Blissey,Pokémon,120,Chansey,2,2,Yuka Morii,Rare Holo
neo4-3,Dark Donphan,Pokémon,60,Phanpy,3,3,Shin-ichi Yoshida,Rare Holo
bw7-3,Vileplume,Pokémon,140,Gloom,3,3,Shin Nagasawa,Rare Holo
dpp-DP03,Piplup,Pokémon,60,,1,DP03,Atsuko Nishida,Promo
sm115-4,Paras,Pokémon,70,,1,4,OOYAMA,Common
xy2-5,Seedot,Pokémon,50,,1,5,Naoyo Kimura,Common
ex14-2,Blastoise δ,Pokémon,110,Wartortle,3,2,Masakazu Fukuda,Rare Holo
det1-5,Charizard,Pokémon,180,Charmeleon,3,5,Framestore,Rare Ultra
pl1-6,Dialga,Pokémon,100,,2,6,Kouki Saitou,Rare Holo
dpp-DP04,Pachirisu,Pokémon,70,,1,DP04,Atsuko Nishida,Promo
xy5-5,Tangrowth,Pokémon,130,Tangela,4,5,MAHOU,Rare
xy2-6,Nuzleaf,Pokémon,80,Seedot,1,6,Midori Harada,Uncommon
ex14-3,Camerupt,Pokémon,80,Numel,2,3,Mitsuhiro Arita,Rare Holo
base5-3,Dark Blastoise,Pokémon,70,Dark Wartortle,2,3,Mitsuhiro Arita,Rare Holo
neo4-4,Dark Espeon,Pokémon,60,Eevee,,4,Atsuko Nishida,Rare Holo
hgss4-6,Nidoking,Pokémon,140,Nidorino,3,6,match,Rare Holo
bw8-3,Torterra,Pokémon,150,Grotle,4,3,5ban Graphics,Rare
sm75-3,Charizard,Pokémon,160,Charmeleon,2,3,Ryota Murayama,Rare Holo
xy11-5,Jumpluff,Pokémon,90,Skiploom,1,5,Suwama Chiaki,Rare
det1-6,Arcanine,Pokémon,120,Growlithe,3,6,MPC Film,Rare
bw9-2,Kakuna,Pokémon,80,Weedle,2,2,match,Uncommon
pop3-4,Minun,Pokémon,50,,1,4,Sumiyoshi Kizuki,Rare
bw4-4,Kricketune,Pokémon,90,Kricketot,1,4,Naoyo Kimura,Uncommon
hgss1-6,Jumpluff,Pokémon,90,Skiploom,,6,sui,Rare Holo
sm12-4,Vileplume-GX,Pokémon,240,Gloom,2,4,Kagemaru Himeno,Rare Holo GX
xy5-6,Treecko,Pokémon,60,,1,6,Akira Komayama,Common
mcd19-7,Gastly,Pokémon,50,,1,7,Shibuzoh.,
gym2-5,Giovanni's Gyarados,Pokémon,90,Giovanni's Magikarp,3,5,Ken Sugimori,Rare Holo
base4-5,Clefable,Pokémon,70,Clefairy,2,5,Mitsuhiro Arita,Rare Holo
xy1-4,Kakuna,Pokémon,70,Weedle,2,4,Kouki Saitou,Uncommon
base3-7,Hitmonlee,Pokémon,60,,1,7,Ken Sugimori,Rare Holo
pop3-5,Plusle,Pokémon,50,,1,5,Sumiyoshi Kizuki,Rare
ex7-6,Dark Hypno,Pokémon,70,Drowzee,1,6,Kouki Saitou,Rare Holo
pl1-7,Dialga G,Pokémon,100,,2,7,Yusuke Ishikawa,Rare Holo
ecard2-H8,Entei,Pokémon,70,,1,H8,Atsuko Nishida,Rare Holo
basep-5,Dragonite,Pokémon,90,Dragonair,2,5,Toshinao Aoki,Promo
pl1-8,Gardevoir,Pokémon,120,Kirlia,1,8,Kouki Saitou,Rare Holo
ex12-8,Lapras,Pokémon,80,,2,8,Kagemaru Himeno,Rare Holo
swsh1-5,Cottonee,Pokémon,60,,1,5,ryoma uratsuka,Common
bw6-5,Yanmega,Pokémon,100,Yanma,,5,Naoki Saito,Rare
xy1-5,Beedrill,Pokémon,120,Kakuna,1,5,Shin Nagasawa,Rare
pl4-6,Mothim,Pokémon,90,Burmy,,6,Kagemaru Himeno,Rare Holo
dp3-8,Gastrodon East Sea,Pokémon,100,Shellos East Sea,4,8,Kazuyuki Kano,Rare Holo
det1-8,Magikarp,Pokémon,30,,1,8,Framestore,Common
sm6-1,Exeggcute,Pokémon,40,,1,1,Yuka Morii,Common
ex14-4,Charizard δ,Pokémon,120,Charmeleon,2,4,Kouki Saitou,Rare Holo
xy8-2,Parasect,Pokémon,100,Paras,2,2,Sumiyoshi Kizuki,Rare
xy5-8,Sceptile,Pokémon,130,Grovyle,2,8,Hajime Kusajima,Rare
mcd19-5,Lapras,Pokémon,120,,2,5,Saya Tsuruta,
sm8-2,Tangrowth,Pokémon,140,Tangela,3,2,Atsuko Nishida,Rare
swsh35-4,Beedrill,Pokémon,140,Kakuna,1,4,Hideki Ishikawa,Uncommon
pop9-3,Raichu,Pokémon,90,Pikachu,1,3,Midori Harada,Rare
neo3-3,Celebi,Pokémon,50,,1,3,Hironobu Yoshida,Rare Holo
base3-6,Haunter,Pokémon,50,Gastly,,6,Ken Sugimori,Rare Holo
ex11-6,Gardevoir δ,Pokémon,100,Kirlia,2,6,Mitsuhiro Arita,Rare Holo
basep-3,Mewtwo,Pokémon,70,,2,3,Ken Sugimori,Promo
mcd19-6,Pikachu,Pokémon,60,,1,6,Kagemaru Himeno,
sm5-4,Roselia,Pokémon,70,,1,4,Kyoko Umemoto,Common
ecard2-H6,Blissey,Pokémon,120,Chansey,2,H6,Naoyo Kimura,Rare Holo
ru1-5,Starmie,Pokémon,80,Staryu,1,5,Pokemon Rumble,
hgss2-4,Metagross,Pokémon,130,Metang,4,4,Wataru Kawahara,Rare Holo
col1-4,Espeon,Pokémon,90,Eevee,1,4,match,Rare Holo
bw5-4,Scyther,Pokémon,80,,1,4,Naoki Saito,Uncommon
sm115-6,Pinsir-GX,Pokémon,180,,2,6,5ban Graphics,Rare Holo GX
xy7-5,Spinarak,Pokémon,50,,1,5,Naoyo Kimura,Common
xy11-6,Yanma,Pokémon,70,,1,6,match,Common
ex12-7,Kabutops,Pokémon,110,Kabuto,2,7,Mitsuhiro Arita,Rare Holo
pl4-5,Luxray,Pokémon,120,Luxio,,5,kawayoo,Rare Holo
xy4-4,Yanmega,Pokémon,110,Yanma,,4,Mitsuhiro Arita,Rare
hgss1-7,Ninetales,Pokémon,90,Vulpix,1,7,TOKIYA,Rare Holo
bw7-5,Tangela,Pokémon,80,,2,5,MAHOU,Common
si1-6,Raticate,Pokémon,60,Rattata,,6,Keiko Fukuyama,
dp1-5,Infernape,Pokémon,100,Monferno,,5,Nakaoka,Rare Holo
sm2-4,Petilil,Pokémon,50,,1,4,Naoki Saito,Common
base1-4,Charizard,Pokémon,120,Charmeleon,3,4,Mitsuhiro Arita,Rare Holo
pl3-5,Garchomp,Pokémon,130,Gabite,,5,Mitsuhiro Arita,Rare Holo
pop4-5,Sceptile,Pokémon,100,Grovyle,3,5,Atsuko Nishida,Rare
base5-4,Dark Charizard,Pokémon,80,Dark Charmeleon,3,4,Ken Sugimori,Rare Holo
bw11-5,Carnivine,Pokémon,80,,2,5,HiRON,Uncommon
sm1-3,Butterfree,Pokémon,130,Metapod,1,3,chibi,Rare
swsh35-6,Vulpix,Pokémon,60,,1,6,Shibuzoh.,Common
xy10-4,Mothim,Pokémon,90,Burmy,,4,MAHOU,Rare
bw9-3,Beedrill,Pokémon,120,Kakuna,,3,kawayoo,Rare
ex9-6,Kyogre,Pokémon,80,,2,6,Masakazu Fukuda,Rare Holo
bw6-4,Yanma,Pokémon,70,,1,4,Yukiko Baba,Common
ex3-6,Grumpig,Pokémon,80,Spoink,1,6,Midori Harada,Rare Holo
base5-5,Dark Dragonite,Pokémon,70,Dark Dragonair,2,5,Mitsuhiro Arita,Rare Holo
hgss2-5,Mismagius,Pokémon,90,Misdreavus,1,5,Hideaki Hakozaki,Rare Holo
sm3-5,Gloom,Pokémon,80,Oddish,2,5,Shibuzoh.,Uncommon
mcd19-8,Mankey,Pokémon,60,,1,8,Miki Tanaka,
sm2-5,Lilligant,Pokémon,90,Petilil,1,5,You Iribi,Rare
bw9-4,Exeggcute,Pokémon,30,,1,4,Shigenori Negishi,Uncommon
dp4-5,Pachirisu,Pokémon,70,,1,5,Hironobu Yoshida,Rare Holo
sm115-7,Charmander,Pokémon,70,,1,7,Megumi Mizutani,Common
bw10-7,Shelmet,Pokémon,60,,3,7,Sumiyoshi Kizuki,Common
swsh4-3,Beedrill,Pokémon,130,Kakuna,,3,KEIICHIRO ITO,Rare
hgss1-8,Noctowl,Pokémon,90,Hoothoot,1,8,Suwama Chiaki,Rare Holo
pl3-6,Magmortar,Pokémon,110,Magmar,2,6,Naoyo Kimura,Rare Holo
pop3-6,Vaporeon,Pokémon,70,Eevee,1,6,Masakazu Fukuda,Rare
hgss4-8,Rapidash,Pokémon,90,Ponyta,1,8,Kyoko Umemoto,Rare Holo
ex4-6,Team Aqua's Walrein,Pokémon,120,Team Aqua's Sealeo,2,6,Ken Ikuji,Rare Holo
